time,temperature,humidity,wind_speed,precipitation
2026-09-28 10:00:00,29.1,76,6.9,0.1
2026-09-28 11:00:00,30.6,70,7.9,0.1
2026-09-28 12:00:00,31.6,67,8.7,0.1
2026-09-28 13:00:00,32.1,65,8.9,0.1
2026-09-28 14:00:00,31.9,66,8.8,0.4
2026-09-28 15:00:00,31.1,70,8.1,0.4
2026-09-28 16:00:00,30.0,75,7.4,0.4
2026-09-28 17:00:00,28.8,81,6.5,0.4
2026-09-28 18:00:00,27.6,87,5.6,0.4
2026-09-28 19:00:00,26.8,91,4.8,0.4
2026-09-28 20:00:00,26.3,94,4.3,0.0
2026-09-28 21:00:00,25.9,95,3.8,0.0
2026-09-28 22:00:00,25.6,97,3.4,0.0
2026-09-28 23:00:00,25.4,97,3.0,0.0
