time,temperature,humidity,wind_speed,precipitation,hour,day,month,day_of_week,day_name,is_weekend,is_rainy,temperature_category
2026-09-14 13:00:00,31.8,66,13.0,0.0,13,14,9,0,Monday,False,False,Hot
2026-09-14 14:00:00,27.5,84,15.0,2.0,14,14,9,0,Monday,False,True,Moderate
2026-09-14 15:00:00,28.2,82,10.4,0.8,15,14,9,0,Monday,False,True,Moderate
2026-09-14 16:00:00,28.0,82,9.8,0.3,16,14,9,0,Monday,False,True,Moderate
2026-09-14 17:00:00,27.2,87,8.7,0.4,17,14,9,0,Monday,False,True,Moderate
2026-09-14 18:00:00,25.7,90,6.3,0.7,18,14,9,0,Monday,False,True,Moderate
2026-09-14 19:00:00,25.2,94,2.2,1.6,19,14,9,0,Monday,False,True,Moderate
2026-09-14 20:00:00,25.2,96,5.5,0.2,20,14,9,0,Monday,False,True,Moderate
2026-09-14 21:00:00,24.4,97,4.9,2.1,21,14,9,0,Monday,False,True,Moderate
2026-09-14 22:00:00,24.5,98,6.5,0.2,22,14,9,0,Monday,False,True,Moderate
2026-09-14 23:00:00,24.6,97,5.5,0.0,23,14,9,0,Monday,False,False,Moderate
2026-09-15 00:00:00,24.7,97,5.4,0.0,0,15,9,1,Tuesday,False,False,Moderate
2026-09-15 01:00:00,24.7,97,5.9,0.0,1,15,9,1,Tuesday,False,False,Moderate
2026-09-15 02:00:00,24.7,98,5.4,0.0,2,15,9,1,Tuesday,False,False,Moderate
2026-09-15 03:00:00,24.6,98,5.1,0.0,3,15,9,1,Tuesday,False,False,Moderate
2026-09-15 04:00:00,24.6,98,3.3,0.0,4,15,9,1,Tuesday,False,False,Moderate
2026-09-15 05:00:00,24.4,99,2.5,0.0,5,15,9,1,Tuesday,False,False,Moderate
2026-09-15 06:00:00,24.5,98,4.1,0.0,6,15,9,1,Tuesday,False,False,Moderate
2026-09-15 07:00:00,25.6,94,3.1,0.0,7,15,9,1,Tuesday,False,False,Moderate
2026-09-15 08:00:00,27.2,84,5.8,0.0,8,15,9,1,Tuesday,False,False,Moderate
2026-09-15 09:00:00,28.9,76,8.3,0.1,9,15,9,1,Tuesday,False,True,Moderate
2026-09-15 10:00:00,30.3,70,10.7,0.2,10,15,9,1,Tuesday,False,True,Hot
2026-09-15 11:00:00,31.0,69,11.0,0.2,11,15,9,1,Tuesday,False,True,Hot
2026-09-15 12:00:00,31.4,67,11.9,0.0,12,15,9,1,Tuesday,False,False,Hot
2026-09-15 13:00:00,31.2,66,13.2,0.1,13,15,9,1,Tuesday,False,True,Hot
2026-09-15 14:00:00,31.9,64,11.3,0.4,14,15,9,1,Tuesday,False,True,Hot
2026-09-15 15:00:00,27.5,83,11.9,2.7,15,15,9,1,Tuesday,False,True,Moderate
2026-09-15 16:00:00,27.4,83,13.3,0.7,16,15,9,1,Tuesday,False,True,Moderate
2026-09-15 17:00:00,26.3,85,8.1,0.1,17,15,9,1,Tuesday,False,True,Moderate
2026-09-15 18:00:00,26.1,88,2.7,0.1,18,15,9,1,Tuesday,False,True,Moderate
2026-09-15 19:00:00,26.0,90,2.6,0.0,19,15,9,1,Tuesday,False,False,Moderate
2026-09-15 20:00:00,25.8,92,1.9,0.0,20,15,9,1,Tuesday,False,False,Moderate
2026-09-15 21:00:00,25.7,93,2.3,0.0,21,15,9,1,Tuesday,False,False,Moderate
2026-09-15 22:00:00,25.6,94,2.8,0.0,22,15,9,1,Tuesday,False,False,Moderate
2026-09-15 23:00:00,25.4,95,3.1,0.0,23,15,9,1,Tuesday,False,False,Moderate
2026-09-16 00:00:00,25.1,96,3.5,0.0,0,16,9,2,Wednesday,False,False,Moderate
2026-09-16 01:00:00,24.9,97,3.7,0.0,1,16,9,2,Wednesday,False,False,Moderate
2026-09-16 02:00:00,24.8,97,3.7,0.0,2,16,9,2,Wednesday,False,False,Moderate
2026-09-16 03:00:00,24.6,98,3.3,0.0,3,16,9,2,Wednesday,False,False,Moderate
2026-09-16 04:00:00,24.6,97,3.1,0.0,4,16,9,2,Wednesday,False,False,Moderate
2026-09-16 05:00:00,24.7,97,2.7,0.0,5,16,9,2,Wednesday,False,False,Moderate
2026-09-16 06:00:00,25.0,96,2.5,0.0,6,16,9,2,Wednesday,False,False,Moderate
2026-09-16 07:00:00,25.6,94,2.7,0.0,7,16,9,2,Wednesday,False,False,Moderate
2026-09-16 08:00:00,26.7,88,3.8,0.0,8,16,9,2,Wednesday,False,False,Moderate
2026-09-16 09:00:00,28.2,81,5.6,0.0,9,16,9,2,Wednesday,False,False,Moderate
2026-09-16 10:00:00,29.4,75,7.4,0.0,10,16,9,2,Wednesday,False,False,Moderate
2026-09-16 11:00:00,30.3,72,9.8,0.2,11,16,9,2,Wednesday,False,True,Hot
2026-09-16 12:00:00,30.9,69,11.9,0.2,12,16,9,2,Wednesday,False,True,Hot
2026-09-16 13:00:00,31.1,68,13.0,0.2,13,16,9,2,Wednesday,False,True,Hot
2026-09-16 14:00:00,30.8,70,12.0,0.7,14,16,9,2,Wednesday,False,True,Hot
2026-09-16 15:00:00,30.0,74,9.8,0.7,15,16,9,2,Wednesday,False,True,Moderate
2026-09-16 16:00:00,29.1,78,7.2,0.7,16,16,9,2,Wednesday,False,True,Moderate
2026-09-16 17:00:00,28.1,84,3.8,0.5,17,16,9,2,Wednesday,False,True,Moderate
2026-09-16 18:00:00,27.0,90,1.4,0.5,18,16,9,2,Wednesday,False,True,Moderate
2026-09-16 19:00:00,26.2,95,2.9,0.5,19,16,9,2,Wednesday,False,True,Moderate
2026-09-16 20:00:00,25.9,97,1.5,0.0,20,16,9,2,Wednesday,False,False,Moderate
2026-09-16 21:00:00,25.9,97,2.2,0.0,21,16,9,2,Wednesday,False,False,Moderate
2026-09-16 22:00:00,25.8,96,4.9,0.0,22,16,9,2,Wednesday,False,False,Moderate
2026-09-16 23:00:00,25.6,96,5.8,0.0,23,16,9,2,Wednesday,False,False,Moderate
2026-09-17 00:00:00,25.4,96,6.3,0.0,0,17,9,3,Thursday,False,False,Moderate
2026-09-17 01:00:00,25.2,97,6.4,0.0,1,17,9,3,Thursday,False,False,Moderate
2026-09-17 02:00:00,25.0,97,6.4,0.0,2,17,9,3,Thursday,False,False,Moderate
2026-09-17 03:00:00,24.9,98,6.3,0.0,3,17,9,3,Thursday,False,False,Moderate
2026-09-17 04:00:00,24.9,97,6.2,0.0,4,17,9,3,Thursday,False,False,Moderate
2026-09-17 05:00:00,25.0,96,6.6,0.0,5,17,9,3,Thursday,False,False,Moderate
2026-09-17 06:00:00,25.3,95,7.2,0.0,6,17,9,3,Thursday,False,False,Moderate
2026-09-17 07:00:00,25.8,92,7.8,0.0,7,17,9,3,Thursday,False,False,Moderate
2026-09-17 08:00:00,27.0,86,8.8,0.1,8,17,9,3,Thursday,False,True,Moderate
2026-09-17 09:00:00,28.3,80,9.9,0.1,9,17,9,3,Thursday,False,True,Moderate
2026-09-17 10:00:00,29.1,77,9.7,0.1,10,17,9,3,Thursday,False,True,Moderate
2026-09-17 11:00:00,28.5,80,6.2,3.7,11,17,9,3,Thursday,False,True,Moderate
2026-09-17 12:00:00,27.4,87,1.3,3.7,12,17,9,3,Thursday,False,True,Moderate
2026-09-17 13:00:00,26.4,92,1.3,3.7,13,17,9,3,Thursday,False,True,Moderate
2026-09-17 14:00:00,26.1,94,1.8,1.5,14,17,9,3,Thursday,False,True,Moderate
2026-09-17 15:00:00,26.0,95,6.7,1.5,15,17,9,3,Thursday,False,True,Moderate
2026-09-17 16:00:00,26.0,95,9.9,1.5,16,17,9,3,Thursday,False,True,Moderate
2026-09-17 17:00:00,25.9,96,9.7,0.6,17,17,9,3,Thursday,False,True,Moderate
2026-09-17 18:00:00,25.8,96,7.8,0.6,18,17,9,3,Thursday,False,True,Moderate
2026-09-17 19:00:00,25.7,97,6.2,0.6,19,17,9,3,Thursday,False,True,Moderate
2026-09-17 20:00:00,25.5,97,6.1,0.8,20,17,9,3,Thursday,False,True,Moderate
2026-09-17 21:00:00,25.4,97,6.7,0.8,21,17,9,3,Thursday,False,True,Moderate
2026-09-17 22:00:00,25.2,98,7.4,0.8,22,17,9,3,Thursday,False,True,Moderate
2026-09-17 23:00:00,25.1,98,7.1,0.6,23,17,9,3,Thursday,False,True,Moderate
2026-09-18 00:00:00,25.0,98,6.5,0.6,0,18,9,4,Friday,False,True,Moderate
2026-09-18 01:00:00,25.0,98,6.6,0.6,1,18,9,4,Friday,False,True,Moderate
2026-09-18 02:00:00,25.0,98,7.6,0.5,2,18,9,4,Friday,False,True,Moderate
2026-09-18 03:00:00,24.9,97,7.7,0.5,3,18,9,4,Friday,False,True,Moderate
2026-09-18 04:00:00,24.9,96,7.9,0.5,4,18,9,4,Friday,False,True,Moderate
2026-09-18 05:00:00,24.9,96,8.0,0.5,5,18,9,4,Friday,False,True,Moderate
2026-09-18 06:00:00,24.9,96,8.2,0.5,6,18,9,4,Friday,False,True,Moderate
2026-09-18 07:00:00,25.0,95,8.1,0.5,7,18,9,4,Friday,False,True,Moderate
2026-09-18 08:00:00,25.1,95,7.9,2.0,8,18,9,4,Friday,False,True,Moderate
2026-09-18 09:00:00,25.2,94,7.4,2.0,9,18,9,4,Friday,False,True,Moderate
2026-09-18 10:00:00,25.4,94,6.9,2.0,10,18,9,4,Friday,False,True,Moderate
2026-09-18 11:00:00,25.5,94,6.3,2.0,11,18,9,4,Friday,False,True,Moderate
2026-09-18 12:00:00,25.7,94,5.9,2.0,12,18,9,4,Friday,False,True,Moderate
2026-09-18 13:00:00,25.7,94,5.8,2.0,13,18,9,4,Friday,False,True,Moderate
2026-09-18 14:00:00,25.7,94,6.0,1.6,14,18,9,4,Friday,False,True,Moderate
2026-09-18 15:00:00,25.6,95,6.5,1.6,15,18,9,4,Friday,False,True,Moderate
2026-09-18 16:00:00,25.5,95,7.2,1.6,16,18,9,4,Friday,False,True,Moderate
2026-09-18 17:00:00,25.4,96,7.9,1.6,17,18,9,4,Friday,False,True,Moderate
2026-09-18 18:00:00,25.2,96,8.4,1.6,18,18,9,4,Friday,False,True,Moderate
2026-09-18 19:00:00,25.1,96,8.7,1.6,19,18,9,4,Friday,False,True,Moderate
2026-09-18 20:00:00,25.0,97,8.7,0.6,20,18,9,4,Friday,False,True,Moderate
2026-09-18 21:00:00,24.9,97,8.7,0.6,21,18,9,4,Friday,False,True,Moderate
2026-09-18 22:00:00,24.9,97,8.6,0.6,22,18,9,4,Friday,False,True,Moderate
2026-09-18 23:00:00,24.8,97,8.7,0.6,23,18,9,4,Friday,False,True,Moderate
